_dataobs_,id,age,gender,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,outcome,IMP_annual_mileage,IMP_credit_score,GRP_IMP_credit_score,GRP_age,GRP_children,GRP_married,GRP_past_accidents,GRP_speeding_violations,GRP_vehicle_ownership,GRP_driving_experience,GRP_education,GRP_income,GRP_vehicle_year,BIN_outcome
83,185231,0,0,0-9y,high school,middle class,0.5607702066,1,before 2015,0,1,10238,11000,sedan,0,0,0,0,11000,0.5607702066,4,2,4,3,3,3,4,2,2,3,2,0
88,828462,2,1,20-29y,high school,working class,0.3871071449,0,before 2015,0,1,10238,16000,sedan,0,0,6,0,16000,0.3871071449,2,4,4,3,4,3,3,4,2,5,2,0
96,883018,2,1,0-9y,high school,working class,0.5057903733,1,before 2015,0,1,10238,13000,sedan,0,0,0,0,13000,0.5057903733,3,4,4,3,3,3,4,2,2,5,2,0
97,889355,1,0,10-19y,university,upper class,0.7268184181,1,before 2015,1,1,10238,15000,sedan,2,0,0,0,15000,0.7268184181,5,3,4,4,3,4,4,3,3,2,2,0
98,198273,3,1,20-29y,university,upper class,0.6904423336,1,after 2015,1,1,32765,9000,sedan,8,0,2,0,9000,0.6904423336,5,4,4,4,4,4,4,4,3,2,3,0
104,320444,1,1,0-9y,none,poverty,0.3086490182,0,before 2015,0,1,10238,14000,sedan,0,0,0,0,14000,0.3086490182,2,3,4,3,3,3,3,2,4,4,2,0
105,305793,0,1,0-9y,high school,poverty,0.2458351852,0,before 2015,1,1,10238,11000,sedan,0,0,0,1,11000,0.2458351852,2,2,4,4,3,3,3,2,2,4,2,1
117,418841,0,1,0-9y,none,poverty,0.3186855562,1,before 2015,1,0,32765,9000,sedan,0,0,0,1,9000,0.3186855562,2,2,3,4,3,3,4,2,4,4,2,1
123,602998,3,1,20-29y,none,working class,0.4268283889,1,before 2015,1,0,10238,14000,sedan,3,1,7,0,14000,0.4268283889,2,4,3,4,4,4,4,4,4,5,2,0
126,380740,3,1,30y+,university,upper class,0.7264400018,1,after 2015,1,1,10238,7000,sedan,2,0,3,0,7000,0.7264400018,5,4,4,4,4,4,4,5,3,2,3,0
128,727943,0,1,0-9y,university,middle class,0.5757707975,1,before 2015,0,0,10238,11000,sedan,0,0,0,1,11000,0.5757707975,4,2,3,3,3,3,4,2,3,3,2,1
134,482448,0,1,0-9y,none,poverty,0.3864066186,0,before 2015,0,0,32765,8000,sedan,0,0,0,1,8000,0.3864066186,2,2,3,3,3,3,3,2,4,4,2,1
139,424820,1,0,10-19y,high school,middle class,0.5401827232,1,before 2015,1,1,10238,,sedan,0,0,1,0,12000,0.5401827232,4,3,4,4,3,3,4,3,2,3,2,0
141,758983,2,1,20-29y,high school,middle class,0.5522046303,1,after 2015,1,0,32765,12000,sedan,6,0,3,0,12000,0.5522046303,4,4,3,4,4,4,4,4,2,3,3,0
158,792396,3,0,30y+,university,upper class,0.6806176324,1,before 2015,1,1,10238,12000,sedan,1,2,2,0,12000,0.6806176324,5,4,4,4,4,3,4,5,3,2,2,0
159,768933,2,1,0-9y,high school,working class,0.35595047,1,before 2015,0,1,10238,16000,sedan,0,0,0,1,16000,0.35595047,2,4,4,3,3,3,4,2,2,5,2,1
163,648922,0,1,0-9y,university,middle class,0.2964062828,1,before 2015,0,0,10238,13000,sedan,0,0,0,1,13000,0.2964062828,2,2,3,3,3,3,4,2,3,3,2,1
165,619577,3,0,30y+,university,upper class,0.6885687186,1,after 2015,0,1,92101,11000,sedan,2,0,0,0,11000,0.6885687186,5,4,4,3,3,4,4,5,3,2,3,0
169,226326,2,0,10-19y,university,working class,0.4960298731,1,after 2015,0,0,10238,13000,sedan,0,0,1,0,13000,0.4960298731,3,4,3,3,3,3,4,3,3,5,3,0
180,200009,3,1,30y+,university,upper class,0.678795431,1,after 2015,1,1,10238,11000,sedan,5,1,3,0,11000,0.678795431,5,4,4,4,4,4,4,5,3,2,3,0
183,462586,1,1,10-19y,none,working class,0.4899205986,1,before 2015,0,1,10238,13000,sedan,3,0,1,0,13000,0.4899205986,3,3,4,3,3,4,4,3,4,5,2,0
184,577965,3,1,30y+,high school,middle class,0.4219579486,1,before 2015,0,1,10238,11000,sedan,4,0,6,0,11000,0.4219579486,2,4,4,3,4,4,4,5,2,3,2,0
191,395233,2,1,0-9y,high school,upper class,0.6130724079,1,before 2015,1,0,10238,,sedan,0,0,0,1,12000,0.6130724079,5,4,3,4,3,3,4,2,2,2,2,1
194,112454,1,1,0-9y,none,poverty,0.3482357883,0,before 2015,1,1,32765,7000,sedan,0,0,0,1,7000,0.3482357883,2,3,4,4,3,3,3,2,4,4,2,1
198,195523,0,1,0-9y,high school,poverty,0.514483731,0,before 2015,0,0,10238,12000,sedan,0,0,0,1,12000,0.514483731,3,2,3,3,3,3,3,2,2,4,2,1
201,235574,3,0,30y+,university,upper class,0.651007869,1,after 2015,1,1,10238,12000,sedan,5,0,2,0,12000,0.651007869,5,4,4,4,4,4,4,5,3,2,3,0
202,440993,0,1,0-9y,university,working class,0.3707348174,1,before 2015,0,0,10238,12000,sedan,0,0,0,1,12000,0.3707348174,2,2,3,3,3,3,4,2,3,5,2,1
203,446993,0,1,0-9y,high school,poverty,0.3051450777,1,before 2015,0,0,10238,14000,sedan,0,0,0,0,14000,0.3051450777,2,2,3,3,3,3,4,2,2,4,2,0
205,301242,1,0,10-19y,university,middle class,0.4500145681,1,before 2015,0,1,10238,13000,sedan,1,0,1,0,13000,0.4500145681,3,3,4,3,3,3,4,3,3,3,2,0
232,755061,0,0,0-9y,high school,poverty,0.374070559,1,before 2015,0,0,10238,15000,sedan,0,0,0,1,15000,0.374070559,2,2,3,3,3,3,4,2,2,4,2,1
234,162614,3,1,30y+,university,upper class,0.4593785752,1,before 2015,1,1,10238,13000,sedan,1,0,5,0,13000,0.4593785752,3,4,4,4,4,3,4,5,3,2,2,0
236,466761,2,0,0-9y,university,upper class,0.4654506838,1,after 2015,1,1,10238,11000,sedan,0,0,0,0,11000,0.4654506838,3,4,4,4,3,3,4,2,3,2,3,0
247,194925,0,0,0-9y,high school,poverty,0.2912344135,0,before 2015,0,1,10238,13000,sedan,0,0,0,1,13000,0.2912344135,2,2,4,3,3,3,3,2,2,4,2,1
248,303507,0,0,0-9y,high school,poverty,0.244133263,0,before 2015,1,1,10238,11000,sedan,0,0,0,1,11000,0.244133263,2,2,4,4,3,3,3,2,2,4,2,1
250,570030,0,0,0-9y,none,poverty,0.2932584813,1,before 2015,0,1,10238,14000,sedan,0,0,0,0,14000,0.2932584813,2,2,4,3,3,3,4,2,4,4,2,0
252,102325,0,0,0-9y,university,poverty,0.5033225201,0,before 2015,0,0,10238,15000,sports car,0,0,0,1,15000,0.5033225201,3,2,3,3,3,3,3,2,3,4,2,1
253,653061,1,0,0-9y,university,upper class,,0,after 2015,0,1,10238,,sedan,0,0,0,0,12000,0.5250327586,3,3,4,3,3,3,3,2,3,2,3,0
256,271656,1,0,10-19y,high school,upper class,0.6653433293,1,before 2015,1,1,32765,12000,sedan,1,0,0,0,12000,0.6653433293,5,3,4,4,3,3,4,3,2,2,2,0
271,492516,3,0,30y+,university,upper class,0.8094112591,1,before 2015,1,1,10238,9000,sedan,5,0,4,0,9000,0.8094112591,5,4,4,4,4,4,4,5,3,2,2,0
278,107029,2,1,20-29y,university,upper class,0.8032523419,1,before 2015,0,1,10238,10000,sedan,2,0,3,0,10000,0.8032523419,5,4,4,3,4,4,4,4,3,2,2,0
280,124204,0,0,0-9y,none,poverty,0.1861851147,0,before 2015,0,0,10238,17000,sedan,0,0,0,1,17000,0.1861851147,2,2,3,3,3,3,3,2,4,4,2,1
282,644662,1,1,10-19y,high school,working class,0.3151293556,0,before 2015,0,0,32765,,sedan,2,0,1,0,12000,0.3151293556,2,3,3,3,3,4,3,3,2,5,2,0
283,903407,0,1,0-9y,none,poverty,,0,before 2015,0,1,32765,12000,sedan,0,0,0,0,12000,0.5250327586,3,2,4,3,3,3,3,2,4,4,2,0
289,525386,3,0,10-19y,university,upper class,0.6928836357,1,before 2015,1,1,10238,10000,sedan,2,0,1,0,10000,0.6928836357,5,4,4,4,3,4,4,3,3,2,2,0
294,487355,2,1,0-9y,high school,working class,0.4317004118,0,before 2015,0,1,10238,10000,sedan,0,0,0,1,10000,0.4317004118,3,4,4,3,3,3,3,2,2,5,2,1
308,733833,0,1,0-9y,university,middle class,0.5979347865,1,before 2015,1,1,92101,13000,sedan,0,0,0,1,13000,0.5979347865,4,2,4,4,3,3,4,2,3,3,2,1
311,28109,2,1,20-29y,university,upper class,0.5702776706,1,before 2015,1,0,32765,7000,sedan,5,1,4,0,7000,0.5702776706,4,4,3,4,4,4,4,4,3,2,2,0
327,856902,1,0,10-19y,high school,middle class,0.7556338661,0,before 2015,0,1,10238,16000,sedan,0,0,0,1,16000,0.7556338661,5,3,4,3,3,3,3,3,2,3,2,1
330,373218,2,0,10-19y,high school,working class,0.4712361399,1,before 2015,0,0,10238,12000,sedan,0,0,0,0,12000,0.4712361399,3,4,3,3,3,3,4,3,2,5,2,0
334,647888,2,0,10-19y,none,working class,0.5099102968,0,before 2015,0,0,10238,13000,sedan,0,0,1,0,13000,0.5099102968,3,4,3,3,3,3,3,3,4,5,2,0
343,252686,1,1,10-19y,university,middle class,0.3457261885,1,after 2015,0,0,32765,13000,sedan,2,0,1,0,13000,0.3457261885,2,3,3,3,3,4,4,3,3,3,3,0
345,667165,2,0,20-29y,university,upper class,0.6117018176,0,before 2015,1,0,32765,9000,sedan,5,0,1,0,9000,0.6117018176,5,4,3,4,3,4,3,4,3,2,2,0
351,319494,3,0,0-9y,high school,upper class,0.7306774626,1,after 2015,1,1,10238,13000,sedan,0,0,0,0,13000,0.7306774626,5,4,4,4,3,3,4,2,2,2,3,0
364,587387,1,1,10-19y,high school,working class,0.3812623069,1,after 2015,1,1,10238,9000,sedan,3,0,2,0,9000,0.3812623069,2,3,4,4,4,4,4,3,2,5,3,0
368,933941,1,1,10-19y,high school,poverty,0.4259830676,0,before 2015,0,1,10238,14000,sedan,0,0,1,0,14000,0.4259830676,2,3,4,3,3,3,3,3,2,4,2,0
369,520007,0,1,0-9y,high school,poverty,,0,before 2015,0,1,10238,,sedan,0,0,0,1,12000,0.5250327586,3,2,4,3,3,3,3,2,2,4,2,1
371,864717,3,1,30y+,high school,upper class,0.5873165928,1,after 2015,0,1,92101,11000,sedan,3,1,7,0,11000,0.5873165928,4,4,4,3,4,4,4,5,2,2,3,0
372,565346,0,0,0-9y,high school,working class,0.5668438919,1,before 2015,0,0,32765,16000,sedan,0,0,0,1,16000,0.5668438919,4,2,3,3,3,3,4,2,2,5,2,1
376,200636,1,1,10-19y,high school,middle class,0.661805501,1,before 2015,0,1,10238,14000,sedan,1,0,0,0,14000,0.661805501,5,3,4,3,3,3,4,3,2,3,2,0
396,818305,1,1,10-19y,university,upper class,0.4826533173,1,after 2015,1,1,92101,11000,sedan,1,0,2,0,11000,0.4826533173,3,3,4,4,4,3,4,3,3,2,3,0
397,586430,1,1,10-19y,university,upper class,0.6277262155,0,before 2015,1,1,10238,10000,sedan,0,0,4,0,10000,0.6277262155,5,3,4,4,4,3,3,3,3,2,2,0
401,527739,1,1,10-19y,university,upper class,0.4287285122,1,before 2015,0,0,10238,14000,sedan,2,0,0,0,14000,0.4287285122,2,3,3,3,3,4,4,3,3,2,2,0
415,969959,1,1,10-19y,high school,working class,0.4328792985,1,before 2015,0,1,10238,14000,sedan,0,2,0,0,14000,0.4328792985,3,3,4,3,3,3,4,3,2,5,2,0
417,912505,1,1,10-19y,university,middle class,0.5765924303,0,before 2015,0,0,92101,16000,sedan,2,0,0,1,16000,0.5765924303,4,3,3,3,3,4,3,3,3,3,2,1
418,298912,3,0,30y+,university,upper class,0.7265435592,1,before 2015,0,0,10238,16000,sedan,1,1,0,0,16000,0.7265435592,5,4,3,3,3,3,4,5,3,2,2,0
427,916881,1,1,10-19y,high school,working class,0.3943709791,0,before 2015,0,1,10238,13000,sedan,3,0,0,0,13000,0.3943709791,2,3,4,3,3,4,3,3,2,5,2,0
428,381852,3,1,0-9y,university,upper class,0.4917990064,0,before 2015,0,1,92101,14000,sedan,0,0,0,1,14000,0.4917990064,3,4,4,3,3,3,3,2,3,2,2,1
433,84004,2,0,20-29y,university,upper class,0.7582763049,1,after 2015,1,1,10238,9000,sedan,1,1,1,0,9000,0.7582763049,5,4,4,4,3,3,4,4,3,2,3,0
435,137282,2,0,0-9y,high school,middle class,0.3513704741,1,before 2015,0,0,10238,,sedan,0,0,0,1,12000,0.3513704741,2,4,3,3,3,3,4,2,2,3,2,1
439,411155,1,1,10-19y,university,upper class,0.5008837972,1,after 2015,1,1,10238,,sedan,5,0,2,0,12000,0.5008837972,3,3,4,4,4,4,4,3,3,2,3,0
451,708828,2,0,20-29y,high school,upper class,0.5598309463,1,after 2015,1,1,10238,7000,sedan,1,0,0,0,7000,0.5598309463,4,4,4,4,3,3,4,4,2,2,3,0
457,623636,1,0,10-19y,university,upper class,0.6847622989,0,after 2015,1,1,10238,14000,sedan,1,0,2,0,14000,0.6847622989,5,3,4,4,4,3,3,3,3,2,3,0
459,771076,2,1,20-29y,university,upper class,0.520085635,1,before 2015,1,1,92101,,sedan,1,0,2,1,12000,0.520085635,3,4,4,4,4,3,4,4,3,2,2,1
461,732956,1,0,10-19y,high school,middle class,0.5527408665,0,before 2015,0,0,10238,16000,sedan,0,0,3,1,16000,0.5527408665,4,3,3,3,4,3,3,3,2,3,2,1
466,816938,0,1,0-9y,high school,working class,0.370792384,0,before 2015,1,1,10238,13000,sedan,0,0,0,1,13000,0.370792384,2,2,4,4,3,3,3,2,2,5,2,1
468,792276,3,1,30y+,high school,upper class,0.6420966705,1,after 2015,1,1,10238,12000,sedan,5,1,2,0,12000,0.6420966705,5,4,4,4,4,4,4,5,2,2,3,0
469,951251,2,0,0-9y,none,upper class,0.5628390018,1,before 2015,1,0,32765,10000,sedan,0,0,0,0,10000,0.5628390018,4,4,3,4,3,3,4,2,4,2,2,0
470,395570,2,0,0-9y,university,working class,0.386407082,0,before 2015,0,0,10238,16000,sedan,0,0,0,1,16000,0.386407082,2,4,3,3,3,3,3,2,3,5,2,1
475,931629,1,1,0-9y,high school,working class,0.3976768545,0,before 2015,0,0,10238,12000,sedan,0,0,0,1,12000,0.3976768545,2,3,3,3,3,3,3,2,2,5,2,1
478,136957,0,0,0-9y,university,middle class,0.6404242968,1,before 2015,1,1,10238,5000,sedan,0,0,0,1,5000,0.6404242968,5,2,4,4,3,3,4,2,3,3,2,1
480,750889,2,0,20-29y,high school,middle class,,1,before 2015,0,1,10238,12000,sedan,3,0,0,0,12000,0.5250327586,3,4,4,3,3,4,4,4,2,3,2,0
483,842364,1,0,0-9y,university,middle class,0.6655749122,1,after 2015,0,0,10238,12000,sedan,0,0,0,0,12000,0.6655749122,5,3,3,3,3,3,4,2,3,3,3,0
486,306684,0,0,0-9y,none,poverty,0.3733515893,1,before 2015,0,0,10238,12000,sedan,0,0,0,1,12000,0.3733515893,2,2,3,3,3,3,4,2,4,4,2,1
489,872809,2,1,20-29y,university,upper class,,1,after 2015,1,1,32765,8000,sedan,7,1,3,0,8000,0.5250327586,3,4,4,4,4,4,4,4,3,2,3,0
492,984062,0,0,0-9y,high school,working class,0.5336007026,0,before 2015,0,0,10238,14000,sedan,0,0,0,1,14000,0.5336007026,4,2,3,3,3,3,3,2,2,5,2,1
493,538916,0,0,0-9y,high school,poverty,0.4151650938,1,before 2015,0,0,32765,13000,sedan,0,0,0,0,13000,0.4151650938,2,2,3,3,3,3,4,2,2,4,2,0
494,881409,3,1,30y+,university,upper class,0.4063253015,1,before 2015,0,1,10238,16000,sedan,6,1,1,0,16000,0.4063253015,2,4,4,3,3,4,4,5,3,2,2,0
500,464357,3,1,20-29y,university,upper class,0.8326489564,0,before 2015,1,1,10238,10000,sports car,1,2,2,0,10000,0.8326489564,5,4,4,4,4,3,3,4,3,2,2,0
501,28229,0,1,0-9y,university,middle class,0.3054650663,1,before 2015,0,1,10238,13000,sedan,0,0,0,1,13000,0.3054650663,2,2,4,3,3,3,4,2,3,3,2,1
502,144989,1,0,10-19y,university,middle class,0.4022045366,0,before 2015,1,1,10238,,sedan,1,0,0,0,12000,0.4022045366,2,3,4,4,3,3,3,3,3,3,2,0
508,292051,1,0,10-19y,none,poverty,0.4743758463,1,before 2015,0,0,10238,15000,sedan,2,0,0,0,15000,0.4743758463,3,3,3,3,3,4,4,3,4,4,2,0
509,155114,0,1,0-9y,university,working class,0.4306990683,1,before 2015,1,1,10238,13000,sedan,0,0,0,1,13000,0.4306990683,3,2,4,4,3,3,4,2,3,5,2,1
514,97079,2,1,20-29y,none,poverty,0.1658168281,0,before 2015,0,1,32765,9000,sedan,7,0,3,0,9000,0.1658168281,2,4,4,3,4,4,3,4,4,4,2,0
517,26255,2,0,0-9y,university,upper class,0.641252644,1,before 2015,0,1,32765,10000,sedan,0,0,0,0,10000,0.641252644,5,4,4,3,3,3,4,2,3,2,2,0
521,372474,2,0,20-29y,high school,upper class,0.4328346831,1,after 2015,1,0,10238,13000,sedan,1,0,0,0,13000,0.4328346831,3,4,3,4,3,3,4,4,2,2,3,0
522,106981,1,0,10-19y,university,middle class,0.3583071817,1,before 2015,1,1,92101,12000,sedan,0,0,1,0,12000,0.3583071817,2,3,4,4,3,3,4,3,3,3,2,0
532,748080,1,0,10-19y,high school,upper class,0.7259387452,1,before 2015,0,0,32765,14000,sedan,1,1,0,0,14000,0.7259387452,5,3,3,3,3,3,4,3,2,2,2,0
536,191449,0,0,0-9y,none,working class,0.4192746833,1,before 2015,0,1,10238,15000,sedan,0,0,0,1,15000,0.4192746833,2,2,4,3,3,3,4,2,4,5,2,1
538,915799,2,1,20-29y,high school,middle class,0.4377567029,1,after 2015,1,1,10238,6000,sedan,3,1,8,0,6000,0.4377567029,3,4,4,4,4,4,4,4,2,3,3,0
539,788184,0,1,0-9y,university,middle class,,1,after 2015,1,1,92101,12000,sedan,0,0,0,0,12000,0.5250327586,3,2,4,4,3,3,4,2,3,3,3,0
542,455260,1,0,10-19y,high school,working class,0.3703704548,1,before 2015,1,1,32765,9000,sedan,1,0,0,0,9000,0.3703704548,2,3,4,4,3,3,4,3,2,5,2,0
543,137502,2,1,20-29y,university,upper class,0.4930343475,0,after 2015,1,1,10238,10000,sedan,3,0,4,0,10000,0.4930343475,3,4,4,4,4,4,3,4,3,2,3,0
547,573424,1,0,10-19y,none,middle class,0.5612213429,1,before 2015,0,0,32765,12000,sedan,2,0,1,1,12000,0.5612213429,4,3,3,3,3,4,4,3,4,3,2,1
551,829242,2,1,10-19y,none,working class,0.4399253544,1,before 2015,1,1,10238,10000,sedan,2,0,3,0,10000,0.4399253544,3,4,4,4,4,4,4,3,4,5,2,0
554,389871,1,1,0-9y,university,upper class,0.5364485918,1,after 2015,1,1,10238,10000,sedan,0,0,0,0,10000,0.5364485918,4,3,4,4,3,3,4,2,3,2,3,0
556,382122,2,1,20-29y,high school,middle class,,1,before 2015,1,1,10238,12000,sedan,3,1,5,0,12000,0.5250327586,3,4,4,4,4,4,4,4,2,3,2,0
561,380072,1,1,0-9y,none,working class,0.3661697993,1,before 2015,0,0,10238,14000,sedan,0,0,0,1,14000,0.3661697993,2,3,3,3,3,3,4,2,4,5,2,1
573,574525,0,0,0-9y,high school,poverty,0.2397431027,0,before 2015,0,0,10238,19000,sedan,0,0,0,1,19000,0.2397431027,2,2,3,3,3,3,3,2,2,4,2,1
575,877892,2,0,0-9y,high school,upper class,0.7044732698,1,after 2015,0,1,10238,8000,sedan,0,0,0,0,8000,0.7044732698,5,4,4,3,3,3,4,2,2,2,3,0
580,840085,1,0,10-19y,high school,middle class,,0,before 2015,1,0,10238,11000,sedan,2,0,0,1,11000,0.5250327586,3,3,3,4,3,4,3,3,2,3,2,1
582,486182,0,0,0-9y,high school,poverty,0.3893812088,0,before 2015,0,1,10238,,sedan,0,0,0,1,12000,0.3893812088,2,2,4,3,3,3,3,2,2,4,2,1
585,946258,3,0,10-19y,university,upper class,0.6550240064,1,before 2015,1,1,10238,9000,sedan,1,0,2,0,9000,0.6550240064,5,4,4,4,4,3,4,3,3,2,2,0
586,108490,0,1,0-9y,none,poverty,0.4810954643,1,before 2015,0,0,10238,17000,sedan,0,0,0,1,17000,0.4810954643,3,2,3,3,3,3,4,2,4,4,2,1
587,35975,0,1,0-9y,university,middle class,0.4401334295,1,after 2015,0,0,10238,15000,sedan,0,0,0,0,15000,0.4401334295,3,2,3,3,3,3,4,2,3,3,3,0
590,145697,3,1,0-9y,university,upper class,0.3727413985,1,before 2015,1,1,32765,6000,sedan,0,0,0,1,6000,0.3727413985,2,4,4,4,3,3,4,2,3,2,2,1
593,334482,0,0,0-9y,none,working class,0.3987767872,0,before 2015,0,0,10238,15000,sedan,0,0,0,1,15000,0.3987767872,2,2,3,3,3,3,3,2,4,5,2,1
597,19261,0,0,0-9y,high school,working class,0.324212857,1,before 2015,0,0,10238,11000,sedan,0,0,0,0,11000,0.324212857,2,2,3,3,3,3,4,2,2,5,2,0
601,927179,2,0,10-19y,none,poverty,0.3276112233,0,before 2015,0,1,10238,13000,sedan,0,1,0,1,13000,0.3276112233,2,4,4,3,3,3,3,3,4,4,2,1
604,456321,2,0,0-9y,none,poverty,0.4177257583,0,before 2015,0,1,10238,9000,sedan,0,0,0,1,9000,0.4177257583,2,4,4,3,3,3,3,2,4,4,2,1
608,510560,1,0,10-19y,none,working class,0.4092884351,1,before 2015,0,0,10238,13000,sedan,1,0,0,0,13000,0.4092884351,2,3,3,3,3,3,4,3,4,5,2,0
611,646956,1,1,0-9y,university,middle class,,1,before 2015,1,1,32765,,sedan,0,0,0,1,12000,0.5250327586,3,3,4,4,3,3,4,2,3,3,2,1
617,930990,1,0,10-19y,high school,middle class,0.4637010602,1,after 2015,0,0,10238,16000,sedan,0,0,0,0,16000,0.4637010602,3,3,3,3,3,3,4,3,2,3,3,0
623,881849,2,1,20-29y,high school,middle class,0.4584332709,1,before 2015,0,1,10238,13000,sedan,1,0,2,0,13000,0.4584332709,3,4,4,3,4,3,4,4,2,3,2,0
625,22154,1,1,0-9y,high school,middle class,,1,before 2015,0,1,10238,9000,sedan,0,0,0,1,9000,0.5250327586,3,3,4,3,3,3,4,2,2,3,2,1
626,603433,2,1,10-19y,none,upper class,0.5835233024,1,before 2015,0,1,32765,11000,sedan,0,1,0,1,11000,0.5835233024,4,4,4,3,3,3,4,3,4,2,2,1
628,238126,2,1,0-9y,university,upper class,0.5025033125,1,after 2015,0,1,32765,7000,sedan,0,0,0,0,7000,0.5025033125,3,4,4,3,3,3,4,2,3,2,3,0
632,402988,1,0,10-19y,university,upper class,0.7417184645,1,after 2015,1,1,10238,11000,sedan,0,0,0,0,11000,0.7417184645,5,3,4,4,3,3,4,3,3,2,3,0
644,911755,2,0,20-29y,university,middle class,0.4471842921,1,before 2015,0,0,10238,16000,sedan,1,1,2,1,16000,0.4471842921,3,4,3,3,4,3,4,4,3,3,2,1
645,297583,3,1,20-29y,university,upper class,0.7642961082,1,before 2015,0,1,10238,14000,sedan,3,0,3,0,14000,0.7642961082,5,4,4,3,4,4,4,4,3,2,2,0
646,351854,1,1,10-19y,high school,upper class,0.5492042683,1,after 2015,0,1,10238,14000,sedan,0,0,3,0,14000,0.5492042683,4,3,4,3,4,3,4,3,2,2,3,0
652,670220,0,0,0-9y,university,upper class,0.6140833645,1,before 2015,0,1,10238,11000,sports car,0,0,0,0,11000,0.6140833645,5,2,4,3,3,3,4,2,3,2,2,0
653,441379,2,1,20-29y,university,upper class,0.4281630461,1,after 2015,1,1,10238,,sedan,3,0,4,0,12000,0.4281630461,2,4,4,4,4,4,4,4,3,2,3,0
662,985811,3,1,30y+,university,upper class,0.6012662895,1,before 2015,1,1,10238,10000,sedan,12,1,1,0,10000,0.6012662895,4,4,4,4,3,4,4,5,3,2,2,0
663,85826,0,1,0-9y,high school,poverty,0.3846421211,0,before 2015,1,1,32765,7000,sedan,0,0,0,1,7000,0.3846421211,2,2,4,4,3,3,3,2,2,4,2,1
672,981019,1,0,10-19y,high school,middle class,0.4592168939,1,before 2015,0,1,32765,,sedan,1,1,1,0,12000,0.4592168939,3,3,4,3,3,3,4,3,2,3,2,0
675,860165,1,1,10-19y,none,middle class,0.5899730349,0,before 2015,0,1,10238,9000,sedan,1,0,0,1,9000,0.5899730349,4,3,4,3,3,3,3,3,4,3,2,1
678,99083,0,1,0-9y,none,poverty,0.4248113801,0,before 2015,0,1,32765,,sedan,0,0,0,1,12000,0.4248113801,2,2,4,3,3,3,3,2,4,4,2,1
681,189740,1,0,10-19y,high school,middle class,0.5817211016,0,before 2015,1,0,32765,13000,sedan,2,0,0,0,13000,0.5817211016,4,3,3,4,3,4,3,3,2,3,2,0
