_dataobs_,id,age,gender,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,outcome,IMP_annual_mileage,IMP_credit_score,GRP_IMP_credit_score,GRP_age,GRP_children,GRP_married,GRP_past_accidents,GRP_speeding_violations,GRP_vehicle_ownership,GRP_driving_experience,GRP_education,GRP_income,GRP_vehicle_year,BIN_outcome
30,389792,3,1,0-9y,university,upper class,0.6498204712,1,after 2015,1,1,32765,9000,sedan,0,0,0,1,9000,0.6498204712,5,4,4,4,3,3,4,2,3,2,3,1
31,642614,2,1,20-29y,high school,middle class,0.5218044346,1,after 2015,1,1,92101,7000,sedan,2,0,1,0,7000,0.5218044346,3,4,4,4,3,4,4,4,2,3,3,0
32,951465,3,0,30y+,university,upper class,0.7012683241,1,before 2015,1,1,10238,10000,sedan,3,1,1,0,10000,0.7012683241,5,4,4,4,3,4,4,5,3,2,2,0
35,146897,1,0,0-9y,high school,middle class,0.6046842697,1,before 2015,1,1,21217,11000,sedan,0,0,0,1,11000,0.6046842697,4,3,4,4,3,3,4,2,2,3,2,1
36,316173,0,1,0-9y,university,working class,0.5049948526,0,after 2015,0,0,32765,8000,sedan,0,0,0,1,8000,0.5049948526,3,2,3,3,3,3,3,2,3,5,3,1
37,9013,1,1,10-19y,high school,working class,0.6251466353,1,before 2015,0,1,10238,17000,sedan,3,0,2,0,17000,0.6251466353,5,3,4,3,4,4,4,3,2,5,2,0
38,511757,2,0,10-19y,none,middle class,,1,before 2015,1,1,10238,11000,sedan,2,0,1,0,11000,0.5250327586,3,4,4,4,3,4,4,3,4,3,2,0
39,429947,3,1,30y+,university,upper class,,0,after 2015,0,1,10238,12000,sports car,6,0,5,0,12000,0.5250327586,3,4,4,3,4,4,3,5,3,2,3,0
40,485660,2,1,10-19y,university,upper class,0.5781305873,1,before 2015,0,1,92101,14000,sedan,1,0,1,0,14000,0.5781305873,4,4,4,3,3,3,4,3,3,2,2,0
41,80496,3,1,30y+,high school,upper class,0.7054542902,1,before 2015,1,1,10238,10000,sedan,5,1,3,0,10000,0.7054542902,5,4,4,4,4,4,4,5,2,2,2,0
42,478336,2,1,20-29y,university,upper class,0.6595254906,1,after 2015,0,1,10238,16000,sedan,4,0,2,0,16000,0.6595254906,5,4,4,3,4,4,4,4,3,2,3,0
43,10843,2,1,20-29y,university,upper class,0.587383612,0,after 2015,1,1,32765,9000,sedan,10,2,0,0,9000,0.587383612,4,4,4,4,3,4,3,4,3,2,3,0
44,397446,0,1,0-9y,none,poverty,0.4064824254,0,before 2015,0,0,10238,16000,sedan,0,0,0,1,16000,0.4064824254,2,2,3,3,3,3,3,2,4,4,2,1
45,101678,1,0,10-19y,high school,poverty,0.285747132,0,before 2015,0,1,10238,13000,sedan,1,0,0,1,13000,0.285747132,2,3,4,3,3,3,3,3,2,4,2,1
46,231661,2,1,20-29y,high school,middle class,0.5022849653,0,before 2015,0,0,10238,14000,sports car,3,0,4,0,14000,0.5022849653,3,4,3,3,4,4,3,4,2,3,2,0
47,173782,3,1,20-29y,high school,upper class,0.625625721,1,after 2015,1,1,10238,7000,sedan,7,0,5,0,7000,0.625625721,5,4,4,4,4,4,4,4,2,2,3,0
49,98839,1,0,10-19y,university,working class,0.39315313,1,before 2015,0,1,32765,12000,sedan,1,0,0,0,12000,0.39315313,2,3,4,3,3,3,4,3,3,5,2,0
51,888828,2,1,20-29y,university,upper class,0.6586274303,1,before 2015,1,0,10238,14000,sedan,3,0,2,0,14000,0.6586274303,5,4,3,4,4,4,4,4,3,2,2,0
53,370044,3,1,20-29y,university,upper class,0.5531007571,0,after 2015,1,1,32765,7000,sedan,9,0,1,0,7000,0.5531007571,4,4,4,4,3,4,3,4,3,2,3,0
54,768282,0,0,0-9y,university,working class,0.4475509489,0,before 2015,1,1,10238,8000,sedan,0,0,0,1,8000,0.4475509489,3,2,4,4,3,3,3,2,3,5,2,1
55,738729,0,0,0-9y,none,working class,0.5107331365,1,before 2015,1,1,10238,7000,sedan,0,0,0,1,7000,0.5107331365,3,2,4,4,3,3,4,2,4,5,2,1
56,437535,1,0,10-19y,high school,middle class,,1,after 2015,1,0,10238,15000,sedan,0,0,0,0,15000,0.5250327586,3,3,3,4,3,3,4,3,2,3,3,0
57,329536,0,0,0-9y,high school,poverty,0.4613735917,0,before 2015,0,0,32765,9000,sedan,0,0,0,1,9000,0.4613735917,3,2,3,3,3,3,3,2,2,4,2,1
58,328531,2,0,20-29y,university,middle class,0.3875569444,0,after 2015,0,1,32765,12000,sedan,2,0,1,0,12000,0.3875569444,2,4,4,3,3,4,3,4,3,3,3,0
59,123941,2,0,20-29y,university,middle class,0.5701572257,1,after 2015,1,1,10238,,sedan,0,0,0,0,12000,0.5701572257,4,4,4,4,3,3,4,4,3,3,3,0
60,131881,1,1,10-19y,university,working class,0.5501250876,1,before 2015,0,0,10238,16000,sedan,0,1,0,0,16000,0.5501250876,4,3,3,3,3,3,4,3,3,5,2,0
63,589757,2,0,20-29y,high school,upper class,0.5352743097,1,before 2015,1,1,92101,7000,sedan,2,0,0,0,7000,0.5352743097,4,4,4,4,3,4,4,4,2,2,2,0
64,336859,0,0,0-9y,university,middle class,0.6147359486,1,before 2015,0,1,10238,15000,sedan,0,0,0,1,15000,0.6147359486,5,2,4,3,3,3,4,2,3,3,2,1
65,788111,2,0,20-29y,high school,poverty,0.4544471564,1,before 2015,1,1,10238,,sedan,1,0,1,0,12000,0.4544471564,3,4,4,4,3,3,4,4,2,4,2,0
66,407453,2,0,0-9y,university,upper class,0.6137409184,1,before 2015,0,0,10238,,sedan,0,0,0,0,12000,0.6137409184,5,4,3,3,3,3,4,2,3,2,2,0
68,334687,2,0,0-9y,university,middle class,0.4277285143,1,before 2015,0,0,10238,15000,sedan,0,0,0,1,15000,0.4277285143,2,4,3,3,3,3,4,2,3,3,2,1
70,688440,3,1,10-19y,university,upper class,0.6936124267,1,before 2015,1,1,10238,10000,sedan,2,0,0,0,10000,0.6936124267,5,4,4,4,3,4,4,3,3,2,2,0
71,547974,3,1,20-29y,high school,upper class,0.5979905964,0,before 2015,1,1,10238,12000,sedan,2,1,7,1,12000,0.5979905964,4,4,4,4,4,4,3,4,2,2,2,1
72,989064,1,1,0-9y,none,poverty,0.3308186665,0,after 2015,1,1,10238,12000,sedan,0,0,0,1,12000,0.3308186665,2,3,4,4,3,3,3,2,4,4,3,1
73,422816,2,1,20-29y,high school,working class,,1,before 2015,0,0,10238,12000,sedan,5,0,7,0,12000,0.5250327586,3,4,3,3,4,4,4,4,2,5,2,0
74,307408,1,0,10-19y,none,working class,,1,before 2015,0,1,10238,9000,sedan,2,0,0,0,9000,0.5250327586,3,3,4,3,3,4,4,3,4,5,2,0
75,675898,0,1,0-9y,high school,middle class,0.5083042184,1,before 2015,0,1,10238,16000,sedan,0,0,0,0,16000,0.5083042184,3,2,4,3,3,3,4,2,2,3,2,0
76,480452,1,0,0-9y,university,upper class,0.7641329165,1,before 2015,1,1,10238,12000,sedan,0,0,0,0,12000,0.7641329165,5,3,4,4,3,3,4,2,3,2,2,0
77,93199,2,0,0-9y,university,middle class,0.4775169604,1,after 2015,1,1,10238,14000,sedan,0,0,0,0,14000,0.4775169604,3,4,4,4,3,3,4,2,3,3,3,0
78,125802,2,0,20-29y,university,upper class,0.6812332078,1,before 2015,1,1,10238,10000,sedan,0,0,1,0,10000,0.6812332078,5,4,4,4,3,3,4,4,3,2,2,0
80,423497,0,0,0-9y,high school,working class,0.3941632455,1,before 2015,0,0,10238,16000,sedan,0,0,0,1,16000,0.3941632455,2,2,3,3,3,3,4,2,2,5,2,1
81,492837,2,0,10-19y,university,upper class,0.6610607323,1,after 2015,1,1,10238,14000,sedan,0,0,0,0,14000,0.6610607323,5,4,4,4,3,3,4,3,3,2,3,0
82,422563,2,1,20-29y,university,upper class,0.6651879748,0,before 2015,0,1,10238,14000,sedan,2,0,1,0,14000,0.6651879748,5,4,4,3,3,4,3,4,3,2,2,0
84,949152,1,0,10-19y,university,upper class,0.7454327104,0,after 2015,0,0,32765,9000,sedan,0,0,0,0,9000,0.7454327104,5,3,3,3,3,3,3,3,3,2,3,0
85,859453,1,1,10-19y,university,middle class,0.5325743522,1,before 2015,1,1,10238,13000,sedan,1,0,2,0,13000,0.5325743522,4,3,4,4,4,3,4,3,3,3,2,0
86,466578,1,0,10-19y,high school,middle class,0.5267473391,1,after 2015,0,1,10238,14000,sedan,0,0,0,0,14000,0.5267473391,3,3,4,3,3,3,4,3,2,3,3,0
87,998214,0,0,0-9y,none,poverty,0.4124517462,0,before 2015,0,0,10238,14000,sedan,0,0,0,1,14000,0.4124517462,2,2,3,3,3,3,3,2,4,4,2,1
89,511837,3,1,10-19y,high school,middle class,0.5499938678,1,before 2015,1,1,32765,9000,sedan,3,1,1,0,9000,0.5499938678,4,4,4,4,3,4,4,3,2,3,2,0
90,554995,0,1,0-9y,university,upper class,0.5853420948,1,before 2015,1,1,10238,12000,sports car,0,0,0,1,12000,0.5853420948,4,2,4,4,3,3,4,2,3,2,2,1
91,680717,3,1,30y+,none,middle class,0.5987396054,1,before 2015,1,1,10238,14000,sedan,6,1,3,0,14000,0.5987396054,4,4,4,4,4,4,4,5,4,3,2,0
92,978021,2,1,20-29y,university,upper class,0.6026557001,1,after 2015,1,1,10238,7000,sedan,4,0,6,0,7000,0.6026557001,4,4,4,4,4,4,4,4,3,2,3,0
93,509815,1,0,0-9y,high school,working class,0.5114570585,1,after 2015,1,1,32765,,sedan,0,0,0,0,12000,0.5114570585,3,3,4,4,3,3,4,2,2,5,3,0
94,6676,2,0,20-29y,high school,upper class,0.5586591735,0,before 2015,0,1,10238,15000,sedan,3,0,2,0,15000,0.5586591735,4,4,4,3,4,4,3,4,2,2,2,0
95,362280,2,1,10-19y,high school,working class,0.6284070137,0,before 2015,0,0,10238,13000,sedan,0,0,0,1,13000,0.6284070137,5,4,3,3,3,3,3,3,2,5,2,1
99,197763,2,1,20-29y,university,upper class,0.4796771647,0,after 2015,1,0,10238,14000,sedan,1,0,2,0,14000,0.4796771647,3,4,3,4,4,3,3,4,3,2,3,0
100,55670,1,1,10-19y,university,upper class,,1,after 2015,1,1,10238,11000,sedan,3,1,0,0,11000,0.5250327586,3,3,4,4,3,4,4,3,3,2,3,0
101,545941,2,0,20-29y,none,working class,0.4405592042,1,after 2015,1,1,10238,11000,sedan,1,0,2,0,11000,0.4405592042,3,4,4,4,4,3,4,4,4,5,3,0
102,814196,0,0,0-9y,none,middle class,0.6340525972,1,before 2015,0,1,32765,,sedan,0,0,0,1,12000,0.6340525972,5,2,4,3,3,3,4,2,4,3,2,1
103,560160,0,0,0-9y,high school,poverty,0.457469588,0,before 2015,0,0,10238,,sedan,0,0,0,0,12000,0.457469588,3,2,3,3,3,3,3,2,2,4,2,0
106,362190,0,1,0-9y,high school,poverty,0.305646519,0,before 2015,0,0,10238,14000,sedan,0,0,0,1,14000,0.305646519,2,2,3,3,3,3,3,2,2,4,2,1
107,62647,1,1,10-19y,high school,upper class,0.7440140863,1,before 2015,0,0,10238,13000,sedan,2,0,1,0,13000,0.7440140863,5,3,3,3,3,4,4,3,2,2,2,0
108,296948,2,1,10-19y,university,upper class,0.6704645468,1,after 2015,1,1,10238,14000,sedan,0,0,0,0,14000,0.6704645468,5,4,4,4,3,3,4,3,3,2,3,0
109,673660,3,0,30y+,high school,upper class,0.6830407985,0,after 2015,1,1,10238,10000,sedan,4,1,3,0,10000,0.6830407985,5,4,4,4,4,4,3,5,2,2,3,0
110,945867,0,1,0-9y,university,middle class,0.8286285691,1,before 2015,0,0,10238,13000,sedan,0,0,0,1,13000,0.8286285691,5,2,3,3,3,3,4,2,3,3,2,1
111,391880,3,1,30y+,none,middle class,,1,before 2015,1,1,32765,10000,sedan,12,2,2,0,10000,0.5250327586,3,4,4,4,4,4,4,5,4,3,2,0
112,241973,3,0,30y+,high school,upper class,0.629338094,1,before 2015,1,0,10238,11000,sedan,2,0,2,0,11000,0.629338094,5,4,3,4,4,4,4,5,2,2,2,0
113,429503,0,1,0-9y,high school,poverty,0.2837242105,0,before 2015,0,1,10238,15000,sedan,0,0,0,1,15000,0.2837242105,2,2,4,3,3,3,3,2,2,4,2,1
114,810013,0,1,0-9y,university,working class,0.4576486816,1,after 2015,0,0,10238,14000,sports car,0,0,0,1,14000,0.4576486816,3,2,3,3,3,3,4,2,3,5,3,1
115,663458,0,0,0-9y,high school,poverty,0.3049876424,0,before 2015,0,0,10238,15000,sedan,0,0,0,1,15000,0.3049876424,2,2,3,3,3,3,3,2,2,4,2,1
116,879976,0,1,0-9y,high school,working class,0.5517442884,0,before 2015,1,1,32765,10000,sedan,0,0,0,1,10000,0.5517442884,4,2,4,4,3,3,3,2,2,5,2,1
118,542236,1,1,10-19y,none,working class,0.4369441942,1,before 2015,0,0,10238,12000,sedan,3,0,0,0,12000,0.4369441942,3,3,3,3,3,4,4,3,4,5,2,0
119,937573,2,1,10-19y,university,upper class,0.6291939843,1,before 2015,1,1,32765,7000,sedan,5,0,1,0,7000,0.6291939843,5,4,4,4,3,4,4,3,3,2,2,0
120,670850,0,1,0-9y,university,working class,0.4055600159,1,before 2015,0,0,10238,17000,sedan,0,0,0,1,17000,0.4055600159,2,2,3,3,3,3,4,2,3,5,2,1
121,151252,0,1,0-9y,university,middle class,0.6235462116,1,before 2015,1,0,10238,11000,sedan,0,0,0,0,11000,0.6235462116,5,2,3,4,3,3,4,2,3,3,2,0
122,706349,3,1,10-19y,university,upper class,0.7270329898,1,before 2015,1,1,10238,10000,sedan,1,1,2,0,10000,0.7270329898,5,4,4,4,4,3,4,3,3,2,2,0
124,242772,1,0,10-19y,none,middle class,0.5036589704,1,before 2015,0,1,10238,10000,sedan,1,2,0,0,10000,0.5036589704,3,3,4,3,3,3,4,3,4,3,2,0
125,393449,1,0,10-19y,high school,middle class,,0,before 2015,0,0,10238,12000,sedan,2,0,0,0,12000,0.5250327586,3,3,3,3,3,4,3,3,2,3,2,0
127,938115,0,0,0-9y,none,poverty,0.2444900931,0,before 2015,0,1,32765,,sedan,0,0,0,1,12000,0.2444900931,2,2,4,3,3,3,3,2,4,4,2,1
129,766309,0,1,0-9y,high school,poverty,,0,before 2015,0,0,10238,10000,sports car,0,0,0,1,10000,0.5250327586,3,2,3,3,3,3,3,2,2,4,2,1
130,261229,0,1,0-9y,university,working class,0.4686719657,1,after 2015,0,1,32765,9000,sedan,0,0,0,1,9000,0.4686719657,3,2,4,3,3,3,4,2,3,5,3,1
131,60866,3,1,20-29y,university,upper class,0.6970834558,0,after 2015,0,1,10238,13000,sedan,3,0,2,0,13000,0.6970834558,5,4,4,3,4,4,3,4,3,2,3,0
132,752797,2,0,20-29y,high school,working class,0.5429181079,1,before 2015,0,0,10238,15000,sedan,1,1,0,0,15000,0.5429181079,4,4,3,3,3,3,4,4,2,5,2,0
133,45002,3,1,30y+,high school,upper class,0.6722562535,1,before 2015,1,1,10238,9000,sedan,4,1,2,0,9000,0.6722562535,5,4,4,4,4,4,4,5,2,2,2,0
135,549142,0,1,0-9y,university,middle class,0.5512978331,1,before 2015,1,1,10238,12000,sedan,0,0,0,1,12000,0.5512978331,4,2,4,4,3,3,4,2,3,3,2,1
136,95138,2,1,20-29y,high school,middle class,0.5985570254,0,after 2015,1,0,10238,14000,sedan,4,1,4,0,14000,0.5985570254,4,4,3,4,4,4,3,4,2,3,3,0
137,851152,1,0,10-19y,none,working class,,0,before 2015,1,1,10238,,sedan,0,0,1,0,12000,0.5250327586,3,3,4,4,3,3,3,3,4,5,2,0
138,615991,2,0,20-29y,high school,upper class,0.5824219946,1,after 2015,1,1,10238,11000,sedan,2,0,1,0,11000,0.5824219946,4,4,4,4,3,4,4,4,2,2,3,0
140,807847,3,1,20-29y,university,upper class,0.6330139475,1,after 2015,0,1,10238,14000,sedan,3,1,4,0,14000,0.6330139475,5,4,4,3,4,4,4,4,3,2,3,0
142,987114,1,0,0-9y,university,middle class,0.3266816102,0,before 2015,0,0,10238,16000,sedan,0,0,0,1,16000,0.3266816102,2,3,3,3,3,3,3,2,3,3,2,1
143,873457,2,1,20-29y,high school,middle class,0.5880825424,1,before 2015,1,1,10238,13000,sedan,7,1,1,0,13000,0.5880825424,4,4,4,4,3,4,4,4,2,3,2,0
144,699703,3,0,0-9y,university,upper class,0.7022748021,0,before 2015,1,1,92101,10000,sedan,0,0,0,1,10000,0.7022748021,5,4,4,4,3,3,3,2,3,2,2,1
145,563342,3,0,0-9y,university,upper class,0.7266055392,1,before 2015,0,1,10238,13000,sedan,0,0,0,0,13000,0.7266055392,5,4,4,3,3,3,4,2,3,2,2,0
146,504412,1,1,10-19y,university,working class,,0,before 2015,1,1,10238,12000,sedan,3,2,3,1,12000,0.5250327586,3,3,4,4,4,4,3,3,3,5,2,1
147,284106,3,1,30y+,university,upper class,0.7323821214,1,before 2015,1,1,10238,12000,sedan,5,1,5,0,12000,0.7323821214,5,4,4,4,4,4,4,5,3,2,2,0
148,78189,0,0,0-9y,none,poverty,0.2012839212,1,before 2015,0,0,32765,12000,sedan,0,0,0,1,12000,0.2012839212,2,2,3,3,3,3,4,2,4,4,2,1
149,427520,1,1,10-19y,university,middle class,0.4641607076,0,before 2015,0,0,10238,16000,sedan,0,1,0,0,16000,0.4641607076,3,3,3,3,3,3,3,3,3,3,2,0
150,689030,2,0,20-29y,university,upper class,0.6579677428,1,after 2015,1,0,92101,13000,sedan,1,0,1,0,13000,0.6579677428,5,4,3,4,3,3,4,4,3,2,3,0
151,966467,3,1,30y+,university,upper class,0.6002161554,1,before 2015,1,1,10238,13000,sedan,5,2,4,0,13000,0.6002161554,4,4,4,4,4,4,4,5,3,2,2,0
152,288712,3,1,30y+,university,upper class,0.6663760182,1,after 2015,1,1,10238,12000,sedan,3,0,7,0,12000,0.6663760182,5,4,4,4,4,4,4,5,3,2,3,0
153,228114,1,1,0-9y,high school,working class,0.4031472802,1,before 2015,1,1,10238,10000,sedan,0,0,0,0,10000,0.4031472802,2,3,4,4,3,3,4,2,2,5,2,0
154,63715,3,1,20-29y,university,upper class,0.4169350441,1,before 2015,0,1,10238,13000,sedan,5,1,5,0,13000,0.4169350441,2,4,4,3,4,4,4,4,3,2,2,0
155,624077,3,0,30y+,none,upper class,0.5948797137,1,before 2015,1,1,32765,8000,sports car,10,0,1,0,8000,0.5948797137,4,4,4,4,3,4,4,5,4,2,2,0
156,726352,1,1,10-19y,none,poverty,0.3804265035,0,before 2015,1,1,10238,16000,sedan,1,0,1,0,16000,0.3804265035,2,3,4,4,3,3,3,3,4,4,2,0
157,150072,0,0,0-9y,none,poverty,,0,before 2015,0,0,21217,14000,sedan,0,0,0,1,14000,0.5250327586,3,2,3,3,3,3,3,2,4,4,2,1
160,452356,2,0,10-19y,none,middle class,,1,before 2015,0,1,32765,10000,sedan,2,0,0,0,10000,0.5250327586,3,4,4,3,3,4,4,3,4,3,2,0
161,849811,3,0,30y+,high school,upper class,0.5878314264,1,after 2015,1,0,32765,,sports car,3,0,1,0,12000,0.5878314264,4,4,3,4,3,4,4,5,2,2,3,0
162,579336,3,0,10-19y,university,upper class,0.5733880426,1,after 2015,1,1,10238,10000,sedan,0,0,2,0,10000,0.5733880426,4,4,4,4,4,3,4,3,3,2,3,0
164,47909,3,1,10-19y,university,upper class,0.4295096986,1,before 2015,1,1,10238,10000,sedan,1,0,4,0,10000,0.4295096986,2,4,4,4,4,3,4,3,3,2,2,0
166,212678,3,0,20-29y,university,upper class,0.700017432,1,after 2015,0,1,32765,13000,sedan,1,0,1,0,13000,0.700017432,5,4,4,3,3,3,4,4,3,2,3,0
167,579720,1,1,10-19y,university,working class,0.449588631,0,before 2015,0,1,10238,,sports car,0,0,1,1,12000,0.449588631,3,3,4,3,3,3,3,3,3,5,2,1
168,995884,2,0,20-29y,university,upper class,0.6900455819,1,after 2015,1,0,10238,11000,sedan,2,1,1,0,11000,0.6900455819,5,4,3,4,3,4,4,4,3,2,3,0
170,943922,1,1,10-19y,university,upper class,0.6563457625,0,after 2015,1,1,32765,6000,sedan,8,0,0,0,6000,0.6563457625,5,3,4,4,3,4,3,3,3,2,3,0
171,510116,2,1,0-9y,high school,middle class,0.498356626,1,after 2015,0,1,10238,12000,sedan,0,0,0,0,12000,0.498356626,3,4,4,3,3,3,4,2,2,3,3,0
172,536546,0,0,0-9y,university,middle class,0.5463825431,1,before 2015,1,1,10238,12000,sedan,0,0,0,0,12000,0.5463825431,4,2,4,4,3,3,4,2,3,3,2,0
173,75592,2,0,10-19y,high school,working class,0.3158628767,1,before 2015,0,1,10238,11000,sedan,0,0,1,0,11000,0.3158628767,2,4,4,3,3,3,4,3,2,5,2,0
174,487116,1,1,10-19y,none,working class,0.5300643171,1,before 2015,0,0,10238,,sedan,1,0,2,1,12000,0.5300643171,4,3,3,3,4,3,4,3,4,5,2,1
175,936820,1,0,10-19y,high school,working class,0.3578391721,1,before 2015,0,1,32765,12000,sedan,1,0,0,1,12000,0.3578391721,2,3,4,3,3,3,4,3,2,5,2,1
176,634050,3,1,10-19y,university,upper class,0.6727560528,1,after 2015,1,1,10238,9000,sedan,1,0,2,0,9000,0.6727560528,5,4,4,4,4,3,4,3,3,2,3,0
177,307397,2,1,20-29y,university,upper class,0.741999376,1,after 2015,0,1,10238,,sedan,2,0,2,0,12000,0.741999376,5,4,4,3,4,4,4,4,3,2,3,0
178,558748,3,0,30y+,university,upper class,0.622651979,1,after 2015,1,1,10238,11000,sedan,1,0,0,0,11000,0.622651979,5,4,4,4,3,3,4,5,3,2,3,0
179,856630,0,0,0-9y,high school,middle class,0.4801406677,0,after 2015,0,0,32765,14000,sedan,0,0,0,1,14000,0.4801406677,3,2,3,3,3,3,3,2,2,3,3,1
181,784462,3,1,30y+,university,upper class,,1,before 2015,1,1,32765,10000,sedan,13,1,6,0,10000,0.5250327586,3,4,4,4,4,4,4,5,3,2,2,0
182,792252,2,0,20-29y,university,upper class,0.515246708,1,after 2015,0,1,10238,12000,sedan,2,0,1,0,12000,0.515246708,3,4,4,3,3,4,4,4,3,2,3,0
185,818248,2,1,20-29y,university,upper class,0.5843548497,1,before 2015,0,0,10238,,sedan,1,0,2,0,12000,0.5843548497,4,4,3,3,4,3,4,4,3,2,2,0
186,491438,0,1,0-9y,none,poverty,,0,before 2015,0,0,10238,9000,sedan,0,0,0,1,9000,0.5250327586,3,2,3,3,3,3,3,2,4,4,2,1
187,896587,3,0,30y+,high school,upper class,0.5581569699,1,after 2015,0,1,10238,14000,sedan,0,0,0,0,14000,0.5581569699,4,4,4,3,3,3,4,5,2,2,3,0
188,431538,0,1,0-9y,high school,poverty,0.1941495484,0,before 2015,1,0,10238,12000,sports car,0,0,0,1,12000,0.1941495484,2,2,3,4,3,3,3,2,2,4,2,1
